driver_id,name,age,city,latitude,longitude,vehicle_type,rating,join_date,is_active,total_deliveries,avg_travel_time,avg_distance,on_time_rate,efficiency_score
DRV_0001,Stephen Hunt,20,Ahmedabad,23.042054,72.604648,Scooter,4.9,2024-09-27,False,0.0,0.0,0.0,0.0,49.6
DRV_0002,Dean Stewart,47,Delhi,28.728944,77.121778,Motorcycle,3.6,2021-10-31,True,90.0,24.355555555555554,8.077777777777778,0.9111111111111111,63.5112859515692
DRV_0003,Anita Chase,32,Pune,18.538375,73.885055,Motorcycle,4.5,2022-08-30,True,91.0,24.274725274725274,7.6231868131868135,0.9120879120879121,67.24788822507155
DRV_0004,Peter Stone,29,Chennai,13.103759,80.277602,Motorcycle,4.6,2024-03-04,True,98.0,23.948979591836736,8.025204081632653,0.9591836734693877,70.35635768075916
DRV_0005,Linda Banks,40,Chandigarh,30.725969,76.797137,Scooter,4.7,2023-12-14,True,90.0,23.92222222222222,8.089444444444444,0.9666666666666667,71.15955940204563
DRV_0006,Lisa Reed,21,Kolkata,22.54367,88.412875,Scooter,3.7,2024-01-28,True,91.0,24.703296703296704,7.445714285714285,0.8791208791208791,61.934211186138796
DRV_0007,Michael Allen,47,Delhi,28.712045,77.066733,Car,3.7,2020-08-15,True,120.0,22.683333333333334,7.301416666666666,0.9833333333333333,69.33802779963284
DRV_0008,Danielle Flores,23,Surat,21.195356,72.819003,Motorcycle,5.0,2022-10-29,True,95.0,25.021052631578947,8.135473684210526,0.8947368421052632,67.57000289867075
DRV_0009,Brandy Kirk,50,Jaipur,26.924735,75.807964,Motorcycle,4.6,2023-07-23,True,96.0,26.25,8.553854166666666,0.8854166666666666,64.16965316024128
DRV_0010,George Mcdowell,40,Mumbai,19.110967,72.886693,Scooter,3.2,2022-06-14,True,103.0,24.893203883495147,6.943398058252427,0.9514563106796117,63.3447892875421
DRV_0011,Luke Harris,40,Chandigarh,30.710938,76.829057,Motorcycle,3.8,2022-10-18,True,101.0,24.257425742574256,7.188910891089109,0.9405940594059405,65.89197871793473
DRV_0012,Deborah Cordova,37,Mumbai,19.041164,72.926848,Scooter,5.0,2024-01-22,True,90.0,22.744444444444444,8.049222222222221,0.9333333333333333,71.97167584579071
DRV_0013,Brittany Shelton,22,Indore,22.67246,75.850777,Motorcycle,3.8,2022-02-11,True,93.0,24.86021505376344,7.826881720430107,0.9032258064516129,63.369082002994844
DRV_0014,Amanda Haynes,24,Lucknow,26.856866,80.898785,Scooter,4.1,2021-02-21,True,82.0,23.914634146341463,7.909268292682926,0.926829268292683,66.77592830688339
DRV_0015,Kevin Fischer,20,Bangalore,12.998444,77.545502,Motorcycle,3.6,2020-07-06,True,98.0,25.897959183673468,8.122551020408164,0.8979591836734694,61.17901058141588
DRV_0016,Elizabeth Morgan,27,Surat,21.194638,72.785323,Scooter,4.3,2021-03-05,True,80.0,22.775,7.69675,0.9625,70.59683320220299
DRV_0017,Michael Wheeler,43,Coimbatore,10.984406,76.999123,Motorcycle,4.5,2024-11-14,True,110.0,23.618181818181817,7.753,0.9545454545454546,70.08361347543095
DRV_0018,Francisco Gill,35,Chennai,13.076336,80.318128,Bicycle,3.0,2021-11-22,True,89.0,23.303370786516854,7.391011235955055,0.9550561797752809,64.45095872488264
DRV_0019,Stephanie Montoya,45,Mumbai,19.051935,72.841179,Motorcycle,4.9,2022-05-28,True,102.0,26.294117647058822,7.854313725490196,0.8823529411764706,65.16856574258343
DRV_0020,Randy Baker,49,Chennai,13.082306,80.266535,Car,3.9,2021-11-16,False,0.0,0.0,0.0,0.0,45.6
DRV_0021,Jennifer Martinez,27,Hyderabad,17.410117,78.497764,Car,3.7,2024-01-06,True,98.0,25.29591836734694,7.640714285714285,0.9285714285714286,63.76329420832062
DRV_0022,Hannah Adams,26,Coimbatore,11.014652,76.972637,Scooter,4.6,2021-02-14,True,97.0,24.185567010309278,7.564536082474227,0.9484536082474226,69.56297744287718
DRV_0023,Billy Walker,42,Bhopal,23.26345,77.369971,Motorcycle,3.2,2020-07-20,False,0.0,0.0,0.0,0.0,42.8
DRV_0024,Matthew Orr,37,Bangalore,12.98404,77.625308,Scooter,3.3,2020-11-16,False,0.0,0.0,0.0,0.0,43.199999999999996
DRV_0025,Cory Houston,23,Jaipur,26.93513,75.819407,Bicycle,4.4,2022-12-25,False,0.0,0.0,0.0,0.0,47.6
DRV_0026,Anna Frederick,46,Bangalore,12.922026,77.609301,Motorcycle,3.8,2023-09-30,True,107.0,24.30841121495327,7.805420560747663,0.9345794392523364,65.53588976227417
DRV_0027,Kelly Bishop,27,Delhi,28.694553,77.135948,Motorcycle,4.5,2021-04-04,True,85.0,23.658823529411766,7.457411764705882,0.9294117647058824,68.78280186976443
DRV_0028,Gary Murphy,42,Surat,21.171598,72.855499,Motorcycle,3.1,2024-06-14,True,94.0,24.351063829787233,7.962340425531916,0.9574468085106383,63.83294775432312
DRV_0029,Mandy Ray,34,Bangalore,12.959913,77.64395,Bicycle,4.9,2020-07-23,True,83.0,23.397590361445783,8.076746987951807,0.9759036144578314,72.9910306845004
DRV_0030,Collin Hall,50,Delhi,28.664888,77.138804,Car,4.1,2020-09-15,True,86.0,23.77906976744186,7.831744186046511,0.9302325581395349,67.09328307686678
DRV_0031,Caitlin Kelly,27,Surat,21.164255,72.848963,Motorcycle,4.1,2022-04-08,True,99.0,24.67676767676768,8.030303030303031,0.898989898989899,64.55646631539629
DRV_0032,Michelle Marks,21,Chandigarh,30.720272,76.736802,Motorcycle,4.8,2023-07-29,False,0.0,0.0,0.0,0.0,49.2
DRV_0033,Taylor Carlson,26,Jaipur,26.904047,75.743999,Motorcycle,4.2,2020-09-12,True,78.0,22.858974358974358,8.470641025641026,0.9487179487179487,69.41655470152716
DRV_0034,Anna Lane,42,Ahmedabad,23.050673,72.597506,Bicycle,4.6,2022-01-04,True,92.0,26.195652173913043,8.255978260869565,0.8586956521739131,62.89261109020627
DRV_0035,Joseph Zimmerman,39,Chennai,13.047766,80.291474,Motorcycle,3.5,2024-03-18,True,97.0,24.68041237113402,7.684948453608248,0.8865979381443299,61.53291101251551
DRV_0036,Micheal Brown,48,Hyderabad,17.336974,78.53265,Scooter,5.0,2020-06-30,False,0.0,0.0,0.0,0.0,50.0
DRV_0037,Dr. Katie Edwards,47,Chennai,13.121283,80.255234,Car,3.8,2023-08-23,False,0.0,0.0,0.0,0.0,45.2
DRV_0038,Heather Rodriguez,49,Ahmedabad,23.052233,72.546127,Motorcycle,3.2,2020-12-22,False,0.0,0.0,0.0,0.0,42.8
DRV_0039,Donald Phillips,35,Lucknow,26.846014,80.91888,Bicycle,3.3,2021-12-19,True,94.0,24.372340425531913,7.568617021276596,0.9361702127659575,63.546016706563776
DRV_0040,Sarah Anderson,33,Indore,22.765831,75.867416,Motorcycle,4.5,2021-03-30,True,110.0,25.727272727272727,7.63690909090909,0.9090909090909091,65.52092125026822
DRV_0041,Joseph Wilcox,46,Delhi,28.668832,77.087922,Car,3.2,2022-07-11,True,93.0,23.967741935483872,7.961827956989247,0.946236559139785,64.08863057621211
DRV_0042,Sarah Smith,23,Lucknow,26.883036,80.990591,Motorcycle,3.9,2024-11-26,True,77.0,25.2987012987013,7.925714285714285,0.935064935064935,64.88494793955061
DRV_0043,David Aguilar,44,Chennai,13.1128,80.297488,Motorcycle,3.2,2022-02-08,True,88.0,25.443181818181817,7.282727272727272,0.9204545454545454,61.197557399327664
DRV_0044,Aaron Ramos,41,Kolkata,22.567434,88.357176,Car,3.3,2022-11-23,True,96.0,23.635416666666668,7.920729166666667,0.96875,65.97512785208497
DRV_0045,Noah Lewis,38,Delhi,28.696932,77.05422,Car,3.7,2023-03-27,False,0.0,0.0,0.0,0.0,44.8
DRV_0046,Pamela Bailey,37,Lucknow,26.88286,80.982619,Bicycle,3.3,2023-02-04,False,0.0,0.0,0.0,0.0,43.199999999999996
DRV_0047,Victoria Pitts,36,Jaipur,26.934296,75.76351,Motorcycle,3.1,2022-07-10,True,85.0,25.529411764705884,8.384588235294117,0.9058823529411765,59.975322812051644
DRV_0048,Stephanie Sellers,31,Delhi,28.735674,77.091307,Motorcycle,4.5,2021-06-19,True,76.0,25.32894736842105,7.438289473684211,0.9342105263157895,67.2093875522796
DRV_0049,Tiffany Morrison,38,Bhopal,23.218391,77.411884,Bicycle,4.8,2024-09-20,True,104.0,22.528846153846153,8.071826923076923,0.9423076923076923,71.85448163166495
DRV_0050,Jasmine Pearson,24,Pune,18.563252,73.851235,Scooter,3.5,2023-01-27,False,0.0,0.0,0.0,0.0,43.99999999999999
DRV_0051,Tasha Davis,43,Bangalore,12.935987,77.551604,Scooter,3.6,2022-09-04,True,99.0,27.282828282828284,7.813232323232323,0.8686868686868687,58.211760404994074
DRV_0052,Ariana Holder,46,Pune,18.4969,73.891131,Car,3.3,2022-02-09,True,95.0,24.178947368421053,7.377578947368421,0.9473684210526315,64.31590542051431
DRV_0053,Leslie Carey,26,Chennai,13.072288,80.31501,Car,3.5,2024-04-17,False,0.0,0.0,0.0,0.0,43.99999999999999
